"","sampleName","latitude","longitude","Pond"
"196","YMF2018_271",41.963292,-72.149856,"E8"
"197","YMF2018_272",41.95461,-72.141521,"X9"
"198","YMF2018_273",41.95461,-72.141521,"X9"
"199","YMF2018_274",41.95461,-72.141521,"X9"
"200","YMF2018_275",41.95461,-72.141521,"X9"
"201","YMF2018_276",41.95461,-72.141521,"X9"
"202","YMF2018_277",41.95461,-72.141521,"X9"
"203","YMF2018_278",41.971298,-72.131144,"WM"
"204","YMF2018_279",41.941492,-72.136595,"FE"
"205","YMF2018_280",41.941492,-72.136595,"FE"
"206","YMF2018_281",41.941492,-72.136595,"FE"
"207","YMF2018_282",41.941492,-72.136595,"FE"
"208","YMF2018_284",41.966305,-72.13745,"F1"
"209","YMF2018_285",41.966305,-72.13745,"F1"
"210","YMF2018_287",41.949156,-72.119785,"CPS"
"211","YMF2018_289",41.949582,-72.120016,"CPN"
"212","YMF2018_292",41.949156,-72.119785,"CPS"
"213","YMF2018_293",41.949156,-72.119785,"CPS"
"214","YMF2018_296",41.965097,-72.135211,"G1"
"215","YMF2018_297",41.966305,-72.13745,"F1"
"216","YMF2018_300",41.966305,-72.13745,"F1"
"217","YMF2018_301",41.965097,-72.135211,"G1"
"218","YMF2018_304",41.966305,-72.13745,"F1"
"219","YMF2018_305",41.949156,-72.119785,"CPS"
"220","YMF2018_307",41.966787,-72.150593,"LO"
"221","YMF2018_308",41.959408,-72.136033,"S4"
"222","YMF2018_309",41.959408,-72.136033,"S4"
"223","YMF2018_310",41.966787,-72.150593,"LO"
"224","YMF2018_311",41.966787,-72.150593,"LO"
"225","YMF2018_312",41.966787,-72.150593,"LO"
"226","YMF2018_313",41.945437,-72.128372,"DE"
"227","YMF2018_314",41.954935,-72.123602,"BS"
"228","YMF2018_315",41.954935,-72.123602,"BS"
"229","YMF2018_316",41.954935,-72.123602,"BS"
"230","YMF2018_317",41.927612,-72.157826,"KE"
"231","YMF2018_318",41.963303,-72.151352,"DT"
"232","YMF2018_319",41.963303,-72.151352,"DT"
"233","YMF2018_321",41.964253,-72.120999,"AA006"
"234","YMF2018_324",41.966893,-72.154498,"SD"
"235","YMF2018_331",41.983245,-72.112382,"LAP"
"236","YMF2018_338",41.949582,-72.120016,"CPN"
"237","YMF2018_339",41.949582,-72.120016,"CPN"
"238","YMF2018_342",41.949582,-72.120016,"CPN"
"239","YMF2018_344",41.959226,-72.146056,"A10"
"240","YMF2018_345",41.959226,-72.146056,"A10"
"241","YMF2018_347",41.959226,-72.146056,"A10"
"242","YMF2018_347",41.959226,-72.146056,"A10"
"243","YMF2018_350",41.959226,-72.146056,"A10"
"244","YMF2018_351",41.960203,-72.145505,"C3"
"245","YMF2018_354",41.960203,-72.145505,"C3"
"246","YMF2018_356",41.960203,-72.145505,"C3"
"247","YMF2018_357",41.960203,-72.145505,"C3"
"248","YMF2018_359",41.960203,-72.145505,"C3"
"249","YMF2018_362",41.960203,-72.145505,"C3"
"250","YMF2018_363",41.960203,-72.145505,"C3"
"251","YMF2018_365",41.960203,-72.145505,"C3"
"252","YMF2018_368",41.960203,-72.145505,"C3"
"253","YMF2018_370",41.960203,-72.145505,"C3"
"254","YMF2018_371",41.959226,-72.146056,"A10"
"255","YMF2018_373",41.959226,-72.146056,"A10"
"256","BEB2016_326",41.4261,-72.9928,"BethBog"
"257","RIP2019_375",41.265173,-72.735702,"RichProp"
"258","RIP2019_376",41.265173,-72.735702,"RichProp"
"259","SCP2016_325",41.271603,-72.730821,"ScranProp"
"260","YP2016_328",41.319019,-72.990415,"YP05"
"261","YP2016_377",41.320662,-72.992365,"YP16"
